"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","05/17/2012","17:22:47","","key [pluginmanager] doesn't exist in struct (keys:)"
"ERROR","web-0","05/17/2012","17:23:02","","key [pluginmanager] doesn't exist in struct (keys:)"
"ERROR","web-0","05/17/2012","18:08:58","","datasource [samsite] doesn't exist"
"ERROR","web-0","05/18/2012","00:46:50","","invalid call of the function dateSelect (/Users/stofke/Sites/Cows/SamSite/wheels/view/formsdateobject.cfm), 7th Argument (startYear) is of invalid type, can't cast String [now()] to a value of type [numeric]"
"ERROR","web-0","05/18/2012","00:48:46","","java.lang.InterruptedException"
"ERROR","web-0","05/18/2012","00:49:01","","java.lang.InterruptedException"
"ERROR","web-0","05/18/2012","00:49:26","","java.lang.InterruptedException"
"ERROR","web-0","05/18/2012","00:50:21","","java.lang.InterruptedException"
"ERROR","web-0","05/18/2012","01:01:02","","variable [DD] doesn't exist"
"ERROR","web-0","05/18/2012","01:03:22","","variable [STARTDATE] doesn't exist"
"ERROR","web-0","05/18/2012","01:10:38","","too many Attributes in function call [DE]"
"ERROR","web-0","05/18/2012","01:11:39","","variable [I] doesn't exist"
"ERROR","web-0","05/18/2012","01:16:03","","The parameter options to function select is required but was not passed in."
"ERROR","web-0","05/18/2012","10:42:13","","could not find template [views/img.cfm], file [/Users/stofke/Sites/Cows/SamSite/views/views/img.cfm] doesn't exist"
"ERROR","web-0","05/18/2012","10:44:22","","Syntax Error, Invalid Construct"
"ERROR","web-0","05/18/2012","10:44:55","","tag [cfmodule] is not closed"
"ERROR","web-0","05/18/2012","10:45:01","","variable [OUTPUT] doesn't exist"
"ERROR","web-0","05/18/2012","11:24:07","","key [Students] doesn't exist in struct (keys:)"
"ERROR","web-0","05/18/2012","11:24:43","","variable [ISONLINE] doesn't exist"
"ERROR","web-0","05/18/2012","11:25:06","","variable [ISONLINE] doesn't exist"
"ERROR","web-0","05/18/2012","11:40:12","","key [Wheels] doesn't exist in struct (keys:)"
